Name,Name_full_over,Name_full_pore,pore_TA,over_TA,sed_type,bucket_ID,over_pH
D4_OA1,D4_OA1_over.1,D4_OA1_pore.1,2377.735647,2295.302209,sand,OA1,low
D4_OA1,D4_OA1_over.2,D4_OA1_pore.2,2380.312647,2246.369769,sand,OA1,low
D4_OA2,D4_OA2_over,D4_OA2_pore,2481.630504,2292.725209,sand,OA2,low
D4_OA2,D4_OA2_over.1,D4_OA2_pore.1,2535.941031,2292.083506,sand,OA2,low
D4_OA2,D4_OA2_over.2,D4_OA2_pore.2,2532.579727,2293.336355,sand,OA2,low
D4_OASH1,D4_OASH1_over,D4_OASH1_pore,3132.368807,2292.613166,shells,OASH1,low
D4_OASH1,D4_OASH1_over.1,D4_OASH1_pore.1,3139.15253,2298.398683,shells,OASH1,low
D4_OASH1,D4_OASH1_over.2,D4_OASH1_pore.2,3140.884111,2294.110474,shells,OASH1,low
D4_OASH2,D4_OASH2_over,D4_OASH2_pore,2553.659313,2293.591,shells,OASH2,low
D4_OASH2,D4_OASH2_over.1,D4_OASH2_pore.1,2549.383403,2292.103877,shells,OASH2,low
D4_SH1,D4_SH1_over,D4_SH1_pore,2332.785843,2251.584883,shells,SH1,high
D4_SH1,D4_SH1_over.1,D4_SH1_pore.1,2282.233866,2249.242156,shells,SH1,high
D4_SH1,D4_SH1_over.2,D4_SH1_pore.2,2335.311914,2245.310449,shells,SH1,high
D4_SH2,D4_SH2_over,D4_SH2_pore,2271.722151,2249.03844,shells,SH2,high
D4_SH2,D4_SH2_over.1,D4_SH2_pore.1,2269.094222,2247.072587,shells,SH2,high
D4_SH2,D4_SH2_over.2,D4_SH2_pore.2,2270.683202,2247.57169,shells,SH2,high
D46_C1,D46_C1_over,D46_C1_pore,2027.987544,1999.371607,sand,C1,high
D46_C1,D46_C1_over.1,D46_C1_pore.1,1997.985333,2002.053086,sand,C1,high
D46_C1,D46_C1_over.2,D46_C1_pore.2,1894.065365,1999.371607,sand,C1,high
D46_C2,D46_C2_over,D46_C2_pore,2155.200964,1781.453357,sand,C2,high
D46_C2,D46_C2_over.1,D46_C2_pore.1,2161.282357,1993.006888,sand,C2,high
D46_C2,D46_C2_over.2,D46_C2_pore.2,2151.284993,1987.967731,sand,C2,high
D46_OA1,D46_OA1_over,D46_OA1_pore,2185.486501,2016.047372,sand,OA1,low
D46_OA1,D46_OA1_over.1,D46_OA1_pore.1,2060.064106,2099.223821,sand,OA1,low
D46_OA1,D46_OA1_over.2,D46_OA1_pore.2,2205.987169,2095.459632,sand,OA1,low
D46_OA2,D46_OA2_over,D46_OA2_pore,2312.46719,2111.447319,sand,OA2,low
D46_OA2,D46_OA2_over.1,D46_OA2_pore.1,2361.027261,2015.834877,sand,OA2,low
D46_OA2,D46_OA2_over.2,D46_OA2_pore.2,2356.01846,2024.749531,sand,OA2,low
D46_OASH1,D46_OASH1_over,D46_OASH1_pore,2604.85973,2097.038163,sand,OASH1,low
D46_OASH1,D46_OASH1_over.1,D46_OASH1_pore.1,2632.241174,2024.273948,sand,OASH1,low
D46_OASH1,D46_OASH1_over.2,D46_OASH1_pore.2,2591.533284,2086.372959,sand,OASH1,low
D46_OASH2,D46_OASH2_over,D46_OASH2_pore,2476.96835,2119.987577,sand,OASH2,low
D46_OASH2,D46_OASH2_over.1,D46_OASH2_pore.1,2693.652107,2101.277935,sand,OASH2,low
D46_OASH2,D46_OASH2_over.2,D46_OASH2_pore.2,2681.236353,2119.117361,sand,OASH2,low
D46_SH1,D46_SH1_over,D46_SH1_pore,2023.768008,1992.804513,sand,SH1,high
D46_SH1,D46_SH1_over.1,D46_SH1_pore.1,2025.994142,1989.171867,sand,SH1,high
D46_SH1,D46_SH1_over.2,D46_SH1_pore.2,2141.570955,1990.598617,sand,SH1,high
D46_SH2,D46_SH2_over,D46_SH2_pore,2106.134954,2012.870072,sand,SH2,high
D46_SH2,D46_SH2_over.1,D46_SH2_pore.1,2022.300784,1925.716939,sand,SH2,high
D46_SH2,D46_SH2_over.2,D46_SH2_pore.2,2082.93257,2001.76976,sand,SH2,high
D53_C1,D53_C1_over,D53_C1_pore,1782.57179,1912.761662,sand,C1,high
